artifact_id,closeout_row,path,artifact_type,stage,purpose,current_state,trigger
project_map,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","docs/reports/2026-07-09-project-understanding-and-priority-map-cn.md",overview,preflight,"Explain what the project is now, where the real blockers are, and how the closeout rows relate to the repo state.",ready,"Use at session recovery or human handoff before touching code or paper."
execution_timeline,"CLOSE-02|CLOSE-05|CLOSE-06","docs/reports/2026-07-09-7day-training-writing-execution-timeline-cn.md",timeline,execution,"Define the 2026-07-09 to 2026-07-20 mainline schedule, cutover rules, and stop-loss points.",ready,"Use when deciding what to do next during the 7/9-7/20 window."
close02_arrival_playbook,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","docs/reports/2026-07-09-close02-artifact-arrival-playbook-cn.md",playbook,artifact_arrival,"Map a newly landed dated CLOSE-02 artifact to the exact branch, files, and update order it should trigger.",ready,"Use immediately after a new dated CLOSE-02 artifact lands locally."
gate2_packet,CLOSE-05,"docs/reports/2026-07-09-gate2-evidence-packet-cn.md",evidence_packet,freeze_prep,"Summarize which artifacts can and cannot affect the Gate-2 exit.",ready,"Use while preparing the 2026-07-14 Gate-2 freeze."
gate2_day_runbook,CLOSE-05,"docs/reports/2026-07-09-gate2-freeze-day-runbook-cn.md",runbook,freeze_day,"Provide the fixed order for reading evidence, selecting the exit, and updating paper plus ledger on 2026-07-14.",ready,"Use on Gate-2 freeze day."
gate2_report_template,CLOSE-05,"docs/reports/data/2026-07-14-gate2/gate2_report_zh.template.md",template,freeze_day,"Serve as the structured skeleton for the dated Gate-2 report.",ready,"Use when writing the final 2026-07-14 Gate-2 report."
abstract_freeze_candidate,CLOSE-06,"docs/reports/2026-07-09-abstract-freeze-candidate-cn.md",candidate,freeze_prep,"Extract the current English abstract and isolate the only CLOSE-02-sensitive sentence.",ready,"Use before freezing title and abstract."
abstract_day_runbook,CLOSE-06,"docs/reports/2026-07-09-abstract-freeze-and-submission-runbook-cn.md",runbook,submission_day,"Define the freeze flow, user-only OpenReview actions, and post-submission ledger updates.",ready,"Use on 2026-07-18 to 2026-07-20."
abstract_submission_template,CLOSE-06,"docs/reports/data/2026-07-20-abstract-submission/abstract_submission_record.template.md",template,submission_day,"Capture the frozen title, frozen abstract, close02 branch, drift check, and OpenReview submission id.",ready,"Use after abstract submission."
user_action_checklist,meta,"docs/reports/2026-07-09-user-action-checklist-cn.md",coordination,meta,"List every user-only action across Gate-2 confirmation, OpenReview abstract submission, full-paper submission, supplementary upload, and email dispatch.",ready,"Use whenever a human-only deadline approaches."
placeholder_inventory,CLOSE-07,"docs/reports/2026-07-09-main-v2-placeholder-inventory-cn.md",inventory,backfill_prep,"List the remaining pending slots in main_v2 and their owning closeout rows.",ready,"Use before any final artifact-driven paper sync."
wording_patches,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","docs/reports/2026-07-09-main-v2-wording-patches-cn.md",patch_bank,backfill_prep,"Provide the English sentence blocks for default-safe, conditional-upgrade, and conditional-negative branches.",ready,"Use whenever close02 or Gate-2 status changes."
supplement_checklist,CLOSE-07,"docs/reports/2026-07-09-supplement-bundle-checklist-cn.md",checklist,submission_prep,"List what is already locally ready vs still missing for the supplementary bundle.",ready,"Use before final supplementary packaging."
wording_audit,CLOSE-07,"docs/reports/data/2026-07-09-main-v2-regression-wording-audit.md",audit,regression,"Verify the latest source still respects Family D forbidden-claim boundaries and weak-default wording.",ready,"Use before claiming wording safety."
numeric_provenance_audit,CLOSE-07,"docs/reports/data/2026-07-09-main-v2-numeric-provenance-audit.md",audit,regression,"Verify filled numeric clusters in main_v2 trace to local dated artifacts.",ready,"Use before final paper backfill claims."
dataset_stats_audit,CLOSE-07,"docs/reports/data/2026-07-09-dataset-stats-source-audit.md",audit,regression,"Explain the provenance and limitations of the setup-side dataset statistics table.",ready,"Use before defending setup statistics provenance."
close08_runbook,CLOSE-08,"docs/reports/2026-07-09-close08-pre-submission-review-runbook-cn.md",runbook,review_day,"Define the trigger conditions, five required checks, same-model review boundary, and follow-up behavior for pre-submission review.",ready,"Use when all prerequisite CLOSE rows are closed or documented-gap."
close08_log_template,CLOSE-08,"docs/reports/data/2026-07-26-close08/close08_review_log.template.md",template,review_day,"Provide the structured review log skeleton for recording pass/fail and follow-up issues.",ready,"Use during the formal CLOSE-08 review."
closeout_asset_link_audit,meta,"docs/reports/2026-07-09-closeout-asset-link-audit-cn.md",audit,meta,"Verify that the current closeout execution assets exist and are reachable from INDEX and/or the closeout ledger.",ready,"Use after updating indices or ledger references."
closeout_asset_link_audit_csv,meta,"docs/reports/data/2026-07-09-closeout-asset-link-audit.csv",audit,meta,"Machine-readable audit of current closeout execution asset reachability.",ready,"Use for quick recovery checks or future automation."
