claim_id,claim,required_evidence,observed_evidence,status,allowed_wording,forbidden_wording,paper_location,source_path,source_sha256
C01,U_ds is train-only and orders four domains,split and bank hashes plus four point estimates,"Steam 0.56956625; ATG 0.68826250; Beauty 0.71242750; ML1M 0.75353875",artifact_proven,"train-only four-domain point estimates","population law; significant inversion",Method/Experiments,docs/reports/data/2026-07-02-gate0/gate0_text_utility_report.json,cf0343a16bc847a25bd6afeff37c524e01bdcc48fdcd9d5b8e4cef6e77592565
C02,Table 1 evaluator correction is complete,18/18 common-ruler reevaluation and row counts,"Steam 80651; ML1M 85405; Beauty 2237; ATG 1942; no verdict flip",artifact_proven,"corrected evaluator retained the frozen pass/miss verdicts","strict 4/4 rank match",Experiments/Appendix,docs/reports/data/2026-07-10-evaluator-amendment/e0_evaluator_amendment.json,552eb537781cf0ab547229ab498677c3c93c9f874d0a27a615217fde400e3bc7
C03,g=0 production trace matches designated host path,dated marker revision comparisons and failures,"2986 comparisons; 0 failures; scoped path",artifact_proven_scope_limited,"designated R12 trace passed","all checkpoints and datasets are equivalent",Method/Reproducibility,docs/reports/data/2026-07-10-e01-gzero-production-trace/e01_gzero_trace.json,c4d83efd50f3e9592cff3f50c7e3c4fbcd2dc4afcd528e347b3c5250dc14306b
C04,EPE and phi_R are distinct from U_ds,dated definitions source argv and provenance,Beauty and Steam c0/c60/c100 frozen values,artifact_backed,"observed next-positive exposure proxy and preregistered corruption-risk intervention","complete false-negative rate; u_tilde collapse",Method,docs/reports/data/2026-07-13-aaai-local-fixed-disk/epe_phi_r_method_amendment.md,8f0134eb4f827bdcb8f3c8535b96c4b477bc401e581bd8ca45246d1d0b2708f0
C05,r6a provides implementation snapshot,complete summaries with provenance-limitation label,"8 full/host rows; c100 summary parity; r6a lacks terminal artifact contract",provenance_limited,"single-run implementation snapshot","confirmatory r7 result; efficacy proof",Appendix only,docs/reports/data/2026-07-13-aaai-local-fixed-disk/inputs/r6a/r6a_compact_summary.json,4b3cd8b75317fb2a13dfbf3df0b904ac1bf5cd9e8682c9bf823839a359db42f6
C06,r7 confirmatory performance,14/14 passed nonempty logs valid manifests and terminal risk_gated_method,current frozen snapshot is nonterminal,blocked,"pilot in progress; no paper table emitted","partial table; terminal efficacy claim",Experiments,docs/reports/data/2026-07-13-aaai-local-fixed-disk/inputs/r7/queue/queue_seed100.json,387636c8c5dc5b09bb9c509db26b0f335ecac3ed1525e3c4bee3289612bb966e
C07,SASRec is a common-contract external baseline,four-domain atomic summaries and source hashes,"Steam .046416; ML1M .121677; Beauty .002680; ATG .009062 test NDCG@10",artifact_proven_single_run,"adapted common-contract SASRec baseline","official SASRec reproduction; universally weak SASRec",Experiments,docs/reports/data/2026-07-13-aaai-local-fixed-disk/inputs/e5/manifest.json,2b0038880a5e7f004c91599f3017ae507d4d11f7ef76acc8d4ed4fc0a58d63f6
C08,U_ds user-level uncertainty,at least 1000 bootstrap reps over frozen user-identified records,"records lack user ID; bootstrap_reps=0",not_estimable,"user-level uncertainty was not estimable","1000 bootstrap runs completed; confidence interval",Limitations,docs/reports/data/2026-07-10-e07-u-ds-bootstrap-evidence-gate/e07_evidence_gate.json,839861656f50f6d19d92594234ab4563246790862f777b5d706c75fdadd3fde0
C09,test selection boundary,code and paper disclosure,validation-only selector and development-time test logging,code_and_artifact_backed,"model selection used validation only; test metrics were logged during development","untouched final holdout",Setup/Reproducibility,single_train.py,1a56e2f9926e523769f5e346aa0eced3daedc757d03f7d9c3703ce699e1b10e1
C10,kernel-level theory,formal derivation plus scoped implementation trace,exact g=0 proposal reduction and one-step row TV bound,theory_plus_trace,"kernel-level or one-step transition-row bound","end-to-end performance bound; multi-step guarantee",Theory,paper/main_v2.tex,be8e986055d33fec931423bf141d86e6d4e9f31cb9fee787815bc9b0c66b659e
